NAME : L87
COMMENT : 18801.12
TYPE : CVRP
DIMENSION : 641
MAXVEHICLES : 6
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 1400
DISTANCE : 2500
SERVICE_TIME : 10
TOTALPROFITS : 13186
NODE_COORD_SECTION
1 0.0000 0.0000
2 30.0000 0.0000
3 29.6307 4.6930
4 28.5317 9.2705
5 26.7302 13.6197
6 24.2705 17.6336
7 21.2132 21.2132
8 17.6336 24.2705
9 13.6197 26.7302
10 9.2705 28.5317
11 4.6930 29.6307
12 0.0000 30.0000
13 -4.6930 29.6307
14 -9.2705 28.5317
15 -13.6197 26.7302
16 -17.6336 24.2705
17 -21.2132 21.2132
18 -24.2705 17.6336
19 -26.7302 13.6197
20 -28.5317 9.2705
21 -29.6307 4.6930
22 -30.0000 0.0000
23 -29.6307 -4.6930
24 -28.5317 -9.2705
25 -26.7302 -13.6197
26 -24.2705 -17.6336
27 -21.2132 -21.2132
28 -17.6336 -24.2705
29 -13.6197 -26.7302
30 -9.2705 -28.5317
31 -4.6930 -29.6307
32 -0.0000 -30.0000
33 4.6930 -29.6307
34 9.2705 -28.5317
35 13.6197 -26.7302
36 17.6336 -24.2705
37 21.2132 -21.2132
38 24.2705 -17.6336
39 26.7302 -13.6197
40 28.5317 -9.2705
41 29.6307 -4.6930
42 60.0000 0.0000
43 59.2613 9.3861
44 57.0634 18.5410
45 53.4604 27.2394
46 48.5410 35.2671
47 42.4264 42.4264
48 35.2671 48.5410
49 27.2394 53.4604
50 18.5410 57.0634
51 9.3861 59.2613
52 0.0000 60.0000
53 -9.3861 59.2613
54 -18.5410 57.0634
55 -27.2394 53.4604
56 -35.2671 48.5410
57 -42.4264 42.4264
58 -48.5410 35.2671
59 -53.4604 27.2394
60 -57.0634 18.5410
61 -59.2613 9.3861
62 -60.0000 0.0000
63 -59.2613 -9.3861
64 -57.0634 -18.5410
65 -53.4604 -27.2394
66 -48.5410 -35.2671
67 -42.4264 -42.4264
68 -35.2671 -48.5410
69 -27.2394 -53.4604
70 -18.5410 -57.0634
71 -9.3861 -59.2613
72 -0.0000 -60.0000
73 9.3861 -59.2613
74 18.5410 -57.0634
75 27.2394 -53.4604
76 35.2671 -48.5410
77 42.4264 -42.4264
78 48.5410 -35.2671
79 53.4604 -27.2394
80 57.0634 -18.5410
81 59.2613 -9.3861
82 90.0000 0.0000
83 88.8920 14.0791
84 85.5951 27.8115
85 80.1906 40.8591
86 72.8115 52.9007
87 63.6396 63.6396
88 52.9007 72.8115
89 40.8591 80.1906
90 27.8115 85.5951
91 14.0791 88.8920
92 0.0000 90.0000
93 -14.0791 88.8920
94 -27.8115 85.5951
95 -40.8591 80.1906
96 -52.9007 72.8115
97 -63.6396 63.6396
98 -72.8115 52.9007
99 -80.1906 40.8591
100 -85.5951 27.8115
101 -88.8920 14.0791
102 -90.0000 0.0000
103 -88.8920 -14.0791
104 -85.5951 -27.8115
105 -80.1906 -40.8591
106 -72.8115 -52.9007
107 -63.6396 -63.6396
108 -52.9007 -72.8115
109 -40.8591 -80.1906
110 -27.8115 -85.5951
111 -14.0791 -88.8920
112 -0.0000 -90.0000
113 14.0791 -88.8920
114 27.8115 -85.5951
115 40.8591 -80.1906
116 52.9007 -72.8115
117 63.6396 -63.6396
118 72.8115 -52.9007
119 80.1906 -40.8591
120 85.5951 -27.8115
121 88.8920 -14.0791
122 120.0000 0.0000
123 118.5226 18.7721
124 114.1268 37.0820
125 106.9208 54.4789
126 97.0820 70.5342
127 84.8528 84.8528
128 70.5342 97.0820
129 54.4789 106.9208
130 37.0820 114.1268
131 18.7721 118.5226
132 0.0000 120.0000
133 -18.7721 118.5226
134 -37.0820 114.1268
135 -54.4789 106.9208
136 -70.5342 97.0820
137 -84.8528 84.8528
138 -97.0820 70.5342
139 -106.9208 54.4789
140 -114.1268 37.0820
141 -118.5226 18.7721
142 -120.0000 0.0000
143 -118.5226 -18.7721
144 -114.1268 -37.0820
145 -106.9208 -54.4789
146 -97.0820 -70.5342
147 -84.8528 -84.8528
148 -70.5342 -97.0820
149 -54.4789 -106.9208
150 -37.0820 -114.1268
151 -18.7721 -118.5226
152 -0.0000 -120.0000
153 18.7721 -118.5226
154 37.0820 -114.1268
155 54.4789 -106.9208
156 70.5342 -97.0820
157 84.8528 -84.8528
158 97.0820 -70.5342
159 106.9208 -54.4789
160 114.1268 -37.0820
161 118.5226 -18.7721
162 150.0000 0.0000
163 148.1533 23.4652
164 142.6585 46.3525
165 133.6510 68.0986
166 121.3525 88.1678
167 106.0660 106.0660
168 88.1678 121.3525
169 68.0986 133.6510
170 46.3525 142.6585
171 23.4652 148.1533
172 0.0000 150.0000
173 -23.4652 148.1533
174 -46.3525 142.6585
175 -68.0986 133.6510
176 -88.1678 121.3525
177 -106.0660 106.0660
178 -121.3525 88.1678
179 -133.6510 68.0986
180 -142.6585 46.3525
181 -148.1533 23.4652
182 -150.0000 0.0000
183 -148.1533 -23.4652
184 -142.6585 -46.3525
185 -133.6510 -68.0986
186 -121.3525 -88.1678
187 -106.0660 -106.0660
188 -88.1678 -121.3525
189 -68.0986 -133.6510
190 -46.3525 -142.6585
191 -23.4652 -148.1533
192 -0.0000 -150.0000
193 23.4652 -148.1533
194 46.3525 -142.6585
195 68.0986 -133.6510
196 88.1678 -121.3525
197 106.0660 -106.0660
198 121.3525 -88.1678
199 133.6510 -68.0986
200 142.6585 -46.3525
201 148.1533 -23.4652
202 180.0000 0.0000
203 177.7839 28.1582
204 171.1902 55.6231
205 160.3812 81.7183
206 145.6231 105.8013
207 127.2792 127.2792
208 105.8013 145.6231
209 81.7183 160.3812
210 55.6231 171.1902
211 28.1582 177.7839
212 0.0000 180.0000
213 -28.1582 177.7839
214 -55.6231 171.1902
215 -81.7183 160.3812
216 -105.8013 145.6231
217 -127.2792 127.2792
218 -145.6231 105.8013
219 -160.3812 81.7183
220 -171.1902 55.6231
221 -177.7839 28.1582
222 -180.0000 0.0000
223 -177.7839 -28.1582
224 -171.1902 -55.6231
225 -160.3812 -81.7183
226 -145.6231 -105.8013
227 -127.2792 -127.2792
228 -105.8013 -145.6231
229 -81.7183 -160.3812
230 -55.6231 -171.1902
231 -28.1582 -177.7839
232 -0.0000 -180.0000
233 28.1582 -177.7839
234 55.6231 -171.1902
235 81.7183 -160.3812
236 105.8013 -145.6231
237 127.2792 -127.2792
238 145.6231 -105.8013
239 160.3812 -81.7183
240 171.1902 -55.6231
241 177.7839 -28.1582
242 210.0000 0.0000
243 207.4146 32.8512
244 199.7219 64.8936
245 187.1114 95.3380
246 169.8936 123.4349
247 148.4924 148.4924
248 123.4349 169.8936
249 95.3380 187.1114
250 64.8936 199.7219
251 32.8512 207.4146
252 0.0000 210.0000
253 -32.8512 207.4146
254 -64.8936 199.7219
255 -95.3380 187.1114
256 -123.4349 169.8936
257 -148.4924 148.4924
258 -169.8936 123.4349
259 -187.1114 95.3380
260 -199.7219 64.8936
261 -207.4146 32.8512
262 -210.0000 0.0000
263 -207.4146 -32.8512
264 -199.7219 -64.8936
265 -187.1114 -95.3380
266 -169.8936 -123.4349
267 -148.4924 -148.4924
268 -123.4349 -169.8936
269 -95.3380 -187.1114
270 -64.8936 -199.7219
271 -32.8512 -207.4146
272 -0.0000 -210.0000
273 32.8512 -207.4146
274 64.8936 -199.7219
275 95.3380 -187.1114
276 123.4349 -169.8936
277 148.4924 -148.4924
278 169.8936 -123.4349
279 187.1114 -95.3380
280 199.7219 -64.8936
281 207.4146 -32.8512
282 240.0000 0.0000
283 237.0452 37.5443
284 228.2536 74.1641
285 213.8416 108.9577
286 194.1641 141.0685
287 169.7056 169.7056
288 141.0685 194.1641
289 108.9577 213.8416
290 74.1641 228.2536
291 37.5443 237.0452
292 0.0000 240.0000
293 -37.5443 237.0452
294 -74.1641 228.2536
295 -108.9577 213.8416
296 -141.0685 194.1641
297 -169.7056 169.7056
298 -194.1641 141.0685
299 -213.8416 108.9577
300 -228.2536 74.1641
301 -237.0452 37.5443
302 -240.0000 0.0000
303 -237.0452 -37.5443
304 -228.2536 -74.1641
305 -213.8416 -108.9577
306 -194.1641 -141.0685
307 -169.7056 -169.7056
308 -141.0685 -194.1641
309 -108.9577 -213.8416
310 -74.1641 -228.2536
311 -37.5443 -237.0452
312 -0.0000 -240.0000
313 37.5443 -237.0452
314 74.1641 -228.2536
315 108.9577 -213.8416
316 141.0685 -194.1641
317 169.7056 -169.7056
318 194.1641 -141.0685
319 213.8416 -108.9577
320 228.2536 -74.1641
321 237.0452 -37.5443
322 270.0000 0.0000
323 266.6759 42.2373
324 256.7853 83.4346
325 240.5718 122.5774
326 218.4346 158.7020
327 190.9188 190.9188
328 158.7020 218.4346
329 122.5774 240.5718
330 83.4346 256.7853
331 42.2373 266.6759
332 0.0000 270.0000
333 -42.2373 266.6759
334 -83.4346 256.7853
335 -122.5774 240.5718
336 -158.7020 218.4346
337 -190.9188 190.9188
338 -218.4346 158.7020
339 -240.5718 122.5774
340 -256.7853 83.4346
341 -266.6759 42.2373
342 -270.0000 0.0000
343 -266.6759 -42.2373
344 -256.7853 -83.4346
345 -240.5718 -122.5774
346 -218.4346 -158.7020
347 -190.9188 -190.9188
348 -158.7020 -218.4346
349 -122.5774 -240.5718
350 -83.4346 -256.7853
351 -42.2373 -266.6759
352 -0.0000 -270.0000
353 42.2373 -266.6759
354 83.4346 -256.7853
355 122.5774 -240.5718
356 158.7020 -218.4346
357 190.9188 -190.9188
358 218.4346 -158.7020
359 240.5718 -122.5774
360 256.7853 -83.4346
361 266.6759 -42.2373
362 300.0000 0.0000
363 296.3065 46.9303
364 285.3170 92.7051
365 267.3020 136.1971
366 242.7051 176.3356
367 212.1320 212.1320
368 176.3356 242.7051
369 136.1971 267.3020
370 92.7051 285.3170
371 46.9303 296.3065
372 0.0000 300.0000
373 -46.9303 296.3065
374 -92.7051 285.3170
375 -136.1971 267.3020
376 -176.3356 242.7051
377 -212.1320 212.1320
378 -242.7051 176.3356
379 -267.3020 136.1971
380 -285.3170 92.7051
381 -296.3065 46.9303
382 -300.0000 0.0000
383 -296.3065 -46.9303
384 -285.3170 -92.7051
385 -267.3020 -136.1971
386 -242.7051 -176.3356
387 -212.1320 -212.1320
388 -176.3356 -242.7051
389 -136.1971 -267.3020
390 -92.7051 -285.3170
391 -46.9303 -296.3065
392 -0.0000 -300.0000
393 46.9303 -296.3065
394 92.7051 -285.3170
395 136.1971 -267.3020
396 176.3356 -242.7051
397 212.1320 -212.1320
398 242.7051 -176.3356
399 267.3020 -136.1971
400 285.3170 -92.7051
401 296.3065 -46.9303
402 330.0000 0.0000
403 325.9372 51.6234
404 313.8487 101.9756
405 294.0322 149.8169
406 266.9756 193.9691
407 233.3452 233.3452
408 193.9691 266.9756
409 149.8169 294.0322
410 101.9756 313.8487
411 51.6234 325.9372
412 0.0000 330.0000
413 -51.6234 325.9372
414 -101.9756 313.8487
415 -149.8169 294.0322
416 -193.9691 266.9756
417 -233.3452 233.3452
418 -266.9756 193.9691
419 -294.0322 149.8169
420 -313.8487 101.9756
421 -325.9372 51.6234
422 -330.0000 0.0000
423 -325.9372 -51.6234
424 -313.8487 -101.9756
425 -294.0322 -149.8169
426 -266.9756 -193.9691
427 -233.3452 -233.3452
428 -193.9691 -266.9756
429 -149.8169 -294.0322
430 -101.9756 -313.8487
431 -51.6234 -325.9372
432 -0.0000 -330.0000
433 51.6234 -325.9372
434 101.9756 -313.8487
435 149.8169 -294.0322
436 193.9691 -266.9756
437 233.3452 -233.3452
438 266.9756 -193.9691
439 294.0322 -149.8169
440 313.8487 -101.9756
441 325.9372 -51.6234
442 360.0000 0.0000
443 355.5678 56.3164
444 342.3803 111.2461
445 320.7623 163.4366
446 291.2461 211.6027
447 254.5584 254.5584
448 211.6027 291.2461
449 163.4366 320.7623
450 111.2461 342.3803
451 56.3164 355.5678
452 0.0000 360.0000
453 -56.3164 355.5678
454 -111.2461 342.3803
455 -163.4366 320.7623
456 -211.6027 291.2461
457 -254.5584 254.5584
458 -291.2461 211.6027
459 -320.7623 163.4366
460 -342.3803 111.2461
461 -355.5678 56.3164
462 -360.0000 0.0000
463 -355.5678 -56.3164
464 -342.3803 -111.2461
465 -320.7623 -163.4366
466 -291.2461 -211.6027
467 -254.5584 -254.5584
468 -211.6027 -291.2461
469 -163.4366 -320.7623
470 -111.2461 -342.3803
471 -56.3164 -355.5678
472 -0.0000 -360.0000
473 56.3164 -355.5678
474 111.2461 -342.3803
