NAME : L77
COMMENT : 16902.16
TYPE : CVRP
DIMENSION : 761
MAXVEHICLES : 8
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 1000
DISTANCE : 2000
SERVICE_TIME : 10
TOTALPROFITS : 15542
NODE_COORD_SECTION
1 0.0000 0.0000
2 30.0000 0.0000
3 29.8975 2.4774
4 29.5908 4.9378
5 29.0820 7.3646
6 28.3745 9.7410
7 27.4732 12.0509
8 26.3842 14.2784
9 25.1150 16.4084
10 23.6742 18.4264
11 22.0717 20.3184
12 20.3184 22.0717
13 18.4264 23.6742
14 16.4084 25.1150
15 14.2784 26.3842
16 12.0509 27.4732
17 9.7410 28.3745
18 7.3646 29.0820
19 4.9378 29.5908
20 2.4774 29.8975
21 0.0000 30.0000
22 -2.4774 29.8975
23 -4.9378 29.5908
24 -7.3646 29.0820
25 -9.7410 28.3745
26 -12.0509 27.4732
27 -14.2784 26.3842
28 -16.4084 25.1150
29 -18.4264 23.6742
30 -20.3184 22.0717
31 -22.0717 20.3184
32 -23.6742 18.4264
33 -25.1150 16.4084
34 -26.3842 14.2784
35 -27.4732 12.0509
36 -28.3745 9.7410
37 -29.0820 7.3646
38 -29.5908 4.9378
39 -29.8975 2.4774
40 -30.0000 0.0000
41 -29.8975 -2.4774
42 -29.5908 -4.9378
43 -29.0820 -7.3646
44 -28.3745 -9.7410
45 -27.4732 -12.0509
46 -26.3842 -14.2784
47 -25.1150 -16.4084
48 -23.6742 -18.4264
49 -22.0717 -20.3184
50 -20.3184 -22.0717
51 -18.4264 -23.6742
52 -16.4084 -25.1150
53 -14.2784 -26.3842
54 -12.0509 -27.4732
55 -9.7410 -28.3745
56 -7.3646 -29.0820
57 -4.9378 -29.5908
58 -2.4774 -29.8975
59 -0.0000 -30.0000
60 2.4774 -29.8975
61 4.9378 -29.5908
62 7.3646 -29.0820
63 9.7410 -28.3745
64 12.0509 -27.4732
65 14.2784 -26.3842
66 16.4084 -25.1150
67 18.4264 -23.6742
68 20.3184 -22.0717
69 22.0717 -20.3184
70 23.6742 -18.4264
71 25.1150 -16.4084
72 26.3842 -14.2784
73 27.4732 -12.0509
74 28.3745 -9.7410
75 29.0820 -7.3646
76 29.5908 -4.9378
77 29.8975 -2.4774
78 60.0000 0.0000
79 59.7951 4.9548
80 59.1817 9.8757
81 58.1640 14.7291
82 56.7490 19.4820
83 54.9464 24.1017
84 52.7684 28.5568
85 50.2300 32.8169
86 47.3484 36.8528
87 44.1434 40.6369
88 40.6369 44.1434
89 36.8528 47.3484
90 32.8169 50.2300
91 28.5568 52.7684
92 24.1017 54.9464
93 19.4820 56.7490
94 14.7291 58.1640
95 9.8757 59.1817
96 4.9548 59.7951
97 0.0000 60.0000
98 -4.9548 59.7951
99 -9.8757 59.1817
100 -14.7291 58.1640
101 -19.4820 56.7490
102 -24.1017 54.9464
103 -28.5568 52.7684
104 -32.8169 50.2300
105 -36.8528 47.3484
106 -40.6369 44.1434
107 -44.1434 40.6369
108 -47.3484 36.8528
109 -50.2300 32.8169
110 -52.7684 28.5568
111 -54.9464 24.1017
112 -56.7490 19.4820
113 -58.1640 14.7291
114 -59.1817 9.8757
115 -59.7951 4.9548
116 -60.0000 0.0000
117 -59.7951 -4.9548
118 -59.1817 -9.8757
119 -58.1640 -14.7291
120 -56.7490 -19.4820
121 -54.9464 -24.1017
122 -52.7684 -28.5568
123 -50.2300 -32.8169
124 -47.3484 -36.8528
125 -44.1434 -40.6369
126 -40.6369 -44.1434
127 -36.8528 -47.3484
128 -32.8169 -50.2300
129 -28.5568 -52.7684
130 -24.1017 -54.9464
131 -19.4820 -56.7490
132 -14.7291 -58.1640
133 -9.8757 -59.1817
134 -4.9548 -59.7951
135 -0.0000 -60.0000
136 4.9548 -59.7951
137 9.8757 -59.1817
138 14.7291 -58.1640
139 19.4820 -56.7490
140 24.1017 -54.9464
141 28.5568 -52.7684
142 32.8169 -50.2300
143 36.8528 -47.3484
144 40.6369 -44.1434
145 44.1434 -40.6369
146 47.3484 -36.8528
147 50.2300 -32.8169
148 52.7684 -28.5568
149 54.9464 -24.1017
150 56.7490 -19.4820
151 58.1640 -14.7291
152 59.1817 -9.8757
153 59.7951 -4.9548
154 90.0000 0.0000
155 89.6926 7.4321
156 88.7725 14.8135
157 87.2460 22.0937
158 85.1236 29.2230
159 82.4196 36.1526
160 79.1526 42.8353
161 75.3450 49.2253
162 71.0226 55.2791
163 66.2152 60.9553
164 60.9553 66.2152
165 55.2791 71.0226
166 49.2253 75.3450
167 42.8353 79.1526
168 36.1526 82.4196
169 29.2230 85.1236
170 22.0937 87.2460
171 14.8135 88.7725
172 7.4321 89.6926
173 0.0000 90.0000
