NAME : L71
COMMENT : 34330.84
TYPE : CVRP
DIMENSION : 1121
MAXVEHICLES : 7
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 1000
DISTANCE : 2000
SERVICE_TIME : 10
TOTALPROFITS : 22462
NODE_COORD_SECTION
1 0.0000 0.0000
2 30.0000 0.0000
3 29.6307 4.6930
4 28.5317 9.2705
5 26.7302 13.6197
6 24.2705 17.6336
7 21.2132 21.2132
8 17.6336 24.2705
9 13.6197 26.7302
10 9.2705 28.5317
11 4.6930 29.6307
12 0.0000 30.0000
13 -4.6930 29.6307
14 -9.2705 28.5317
15 -13.6197 26.7302
16 -17.6336 24.2705
17 -21.2132 21.2132
18 -24.2705 17.6336
19 -26.7302 13.6197
20 -28.5317 9.2705
21 -29.6307 4.6930
22 -30.0000 0.0000
23 -29.6307 -4.6930
24 -28.5317 -9.2705
25 -26.7302 -13.6197
26 -24.2705 -17.6336
27 -21.2132 -21.2132
28 -17.6336 -24.2705
29 -13.6197 -26.7302
30 -9.2705 -28.5317
31 -4.6930 -29.6307
32 -0.0000 -30.0000
33 4.6930 -29.6307
34 9.2705 -28.5317
35 13.6197 -26.7302
36 17.6336 -24.2705
37 21.2132 -21.2132
38 24.2705 -17.6336
39 26.7302 -13.6197
40 28.5317 -9.2705
41 29.6307 -4.6930
42 60.0000 0.0000
43 59.2613 9.3861
44 57.0634 18.5410
45 53.4604 27.2394
46 48.5410 35.2671
47 42.4264 42.4264
48 35.2671 48.5410
49 27.2394 53.4604
50 18.5410 57.0634
51 9.3861 59.2613
52 0.0000 60.0000
53 -9.3861 59.2613
54 -18.5410 57.0634
55 -27.2394 53.4604
56 -35.2671 48.5410
57 -42.4264 42.4264
58 -48.5410 35.2671
59 -53.4604 27.2394
60 -57.0634 18.5410
61 -59.2613 9.3861
62 -60.0000 0.0000
63 -59.2613 -9.3861
64 -57.0634 -18.5410
65 -53.4604 -27.2394
66 -48.5410 -35.2671
67 -42.4264 -42.4264
68 -35.2671 -48.5410
69 -27.2394 -53.4604
70 -18.5410 -57.0634
71 -9.3861 -59.2613
72 -0.0000 -60.0000
73 9.3861 -59.2613
74 18.5410 -57.0634
75 27.2394 -53.4604
76 35.2671 -48.5410
77 42.4264 -42.4264
78 48.5410 -35.2671
79 53.4604 -27.2394
80 57.0634 -18.5410
81 59.2613 -9.3861
82 90.0000 0.0000
83 88.8920 14.0791
84 85.5951 27.8115
85 80.1906 40.8591
86 72.8115 52.9007
87 63.6396 63.6396
88 52.9007 72.8115
89 40.8591 80.1906
90 27.8115 85.5951
91 14.0791 88.8920
92 0.0000 90.0000
93 -14.0791 88.8920
94 -27.8115 85.5951
95 -40.8591 80.1906
96 -52.9007 72.8115
97 -63.6396 63.6396
98 -72.8115 52.9007
99 -80.1906 40.8591
100 -85.5951 27.8115
101 -88.8920 14.0791
102 -90.0000 0.0000
103 -88.8920 -14.0791
104 -85.5951 -27.8115
105 -80.1906 -40.8591
106 -72.8115 -52.9007
107 -63.6396 -63.6396
108 -52.9007 -72.8115
109 -40.8591 -80.1906
110 -27.8115 -85.5951
111 -14.0791 -88.8920
112 -0.0000 -90.0000
113 14.0791 -88.8920
114 27.8115 -85.5951
115 40.8591 -80.1906
116 52.9007 -72.8115
117 63.6396 -63.6396
118 72.8115 -52.9007
119 80.1906 -40.8591
120 85.5951 -27.8115
121 88.8920 -14.0791
122 120.0000 0.0000
123 118.5226 18.7721
124 114.1268 37.0820
125 106.9208 54.4789
126 97.0820 70.5342
127 84.8528 84.8528
128 70.5342 97.0820
129 54.4789 106.9208
130 37.0820 114.1268
131 18.7721 118.5226
132 0.0000 120.0000
133 -18.7721 118.5226
134 -37.0820 114.1268
135 -54.4789 106.9208
136 -70.5342 97.0820
137 -84.8528 84.8528
138 -97.0820 70.5342
139 -106.9208 54.4789
140 -114.1268 37.0820
141 -118.5226 18.7721
142 -120.0000 0.0000
143 -118.5226 -18.7721
144 -114.1268 -37.0820
145 -106.9208 -54.4789
146 -97.0820 -70.5342
147 -84.8528 -84.8528
148 -70.5342 -97.0820
149 -54.4789 -106.9208
150 -37.0820 -114.1268
151 -18.7721 -118.5226
152 -0.0000 -120.0000
153 18.7721 -118.5226
154 37.0820 -114.1268
155 54.4789 -106.9208
156 70.5342 -97.0820
157 84.8528 -84.8528
158 97.0820 -70.5342
159 106.9208 -54.4789
160 114.1268 -37.0820
161 118.5226 -18.7721
162 150.0000 0.0000
163 148.1533 23.4652
164 142.6585 46.3525
165 133.6510 68.0986
166 121.3525 88.1678
167 106.0660 106.0660
168 88.1678 121.3525
169 68.0986 133.6510
170 46.3525 142.6585
171 23.4652 148.1533
