NAME : L86
COMMENT : 14597.18
TYPE : CVRP
DIMENSION : 601
MAXVEHICLES : 6
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 1400
DISTANCE : 2500
SERVICE_TIME : 10
TOTALPROFITS : 11984
NODE_COORD_SECTION
1 0.0000 0.0000
2 30.0000 0.0000
3 29.8357 3.1359
4 29.3444 6.2374
5 28.5317 9.2705
6 27.4064 12.2021
7 25.9808 15.0000
8 24.2705 17.6336
9 22.2943 20.0739
10 20.0739 22.2943
11 17.6336 24.2705
12 15.0000 25.9808
13 12.2021 27.4064
14 9.2705 28.5317
15 6.2374 29.3444
16 3.1359 29.8357
17 0.0000 30.0000
18 -3.1359 29.8357
19 -6.2374 29.3444
20 -9.2705 28.5317
21 -12.2021 27.4064
22 -15.0000 25.9808
23 -17.6336 24.2705
24 -20.0739 22.2943
25 -22.2943 20.0739
26 -24.2705 17.6336
27 -25.9808 15.0000
28 -27.4064 12.2021
29 -28.5317 9.2705
30 -29.3444 6.2374
31 -29.8357 3.1359
32 -30.0000 0.0000
33 -29.8357 -3.1359
34 -29.3444 -6.2374
35 -28.5317 -9.2705
36 -27.4064 -12.2021
37 -25.9808 -15.0000
38 -24.2705 -17.6336
39 -22.2943 -20.0739
40 -20.0739 -22.2943
41 -17.6336 -24.2705
42 -15.0000 -25.9808
43 -12.2021 -27.4064
44 -9.2705 -28.5317
45 -6.2374 -29.3444
46 -3.1359 -29.8357
47 -0.0000 -30.0000
48 3.1359 -29.8357
49 6.2374 -29.3444
50 9.2705 -28.5317
51 12.2021 -27.4064
52 15.0000 -25.9808
53 17.6336 -24.2705
54 20.0739 -22.2943
55 22.2943 -20.0739
56 24.2705 -17.6336
57 25.9808 -15.0000
58 27.4064 -12.2021
59 28.5317 -9.2705
60 29.3444 -6.2374
61 29.8357 -3.1359
62 60.0000 0.0000
63 59.6713 6.2717
64 58.6889 12.4747
65 57.0634 18.5410
66 54.8127 24.4042
67 51.9615 30.0000
68 48.5410 35.2671
69 44.5887 40.1478
70 40.1478 44.5887
71 35.2671 48.5410
72 30.0000 51.9615
73 24.4042 54.8127
74 18.5410 57.0634
75 12.4747 58.6889
76 6.2717 59.6713
77 0.0000 60.0000
78 -6.2717 59.6713
79 -12.4747 58.6889
80 -18.5410 57.0634
81 -24.4042 54.8127
82 -30.0000 51.9615
83 -35.2671 48.5410
84 -40.1478 44.5887
85 -44.5887 40.1478
86 -48.5410 35.2671
87 -51.9615 30.0000
88 -54.8127 24.4042
89 -57.0634 18.5410
90 -58.6889 12.4747
91 -59.6713 6.2717
92 -60.0000 0.0000
93 -59.6713 -6.2717
94 -58.6889 -12.4747
95 -57.0634 -18.5410
96 -54.8127 -24.4042
97 -51.9615 -30.0000
98 -48.5410 -35.2671
99 -44.5887 -40.1478
100 -40.1478 -44.5887
101 -35.2671 -48.5410
102 -30.0000 -51.9615
103 -24.4042 -54.8127
104 -18.5410 -57.0634
105 -12.4747 -58.6889
106 -6.2717 -59.6713
107 -0.0000 -60.0000
108 6.2717 -59.6713
109 12.4747 -58.6889
110 18.5410 -57.0634
111 24.4042 -54.8127
112 30.0000 -51.9615
113 35.2671 -48.5410
114 40.1478 -44.5887
115 44.5887 -40.1478
116 48.5410 -35.2671
117 51.9615 -30.0000
118 54.8127 -24.4042
119 57.0634 -18.5410
120 58.6889 -12.4747
121 59.6713 -6.2717
122 90.0000 0.0000
123 89.5070 9.4076
124 88.0333 18.7121
125 85.5951 27.8115
126 82.2191 36.6063
127 77.9423 45.0000
128 72.8115 52.9007
129 66.8830 60.2218
130 60.2218 66.8830
131 52.9007 72.8115
132 45.0000 77.9423
133 36.6063 82.2191
134 27.8115 85.5951
135 18.7121 88.0333
136 9.4076 89.5070
137 0.0000 90.0000
138 -9.4076 89.5070
139 -18.7121 88.0333
140 -27.8115 85.5951
141 -36.6063 82.2191
142 -45.0000 77.9423
143 -52.9007 72.8115
144 -60.2218 66.8830
145 -66.8830 60.2218
146 -72.8115 52.9007
147 -77.9423 45.0000
148 -82.2191 36.6063
149 -85.5951 27.8115
150 -88.0333 18.7121
151 -89.5070 9.4076
152 -90.0000 0.0000
153 -89.5070 -9.4076
154 -88.0333 -18.7121
155 -85.5951 -27.8115
156 -82.2191 -36.6063
157 -77.9423 -45.0000
158 -72.8115 -52.9007
159 -66.8830 -60.2218
160 -60.2218 -66.8830
161 -52.9007 -72.8115
162 -45.0000 -77.9423
163 -36.6063 -82.2191
164 -27.8115 -85.5951
165 -18.7121 -88.0333
166 -9.4076 -89.5070
167 -0.0000 -90.0000
168 9.4076 -89.5070
169 18.7121 -88.0333
170 27.8115 -85.5951
171 36.6063 -82.2191
172 45.0000 -77.9423
173 52.9007 -72.8115
174 60.2218 -66.8830
175 66.8830 -60.2218
176 72.8115 -52.9007
177 77.9423 -45.0000
178 82.2191 -36.6063
179 85.5951 -27.8115
180 88.0333 -18.7121
181 89.5070 -9.4076
182 120.0000 0.0000
183 119.3426 12.5434
184 117.3777 24.9494
185 114.1268 37.0820
186 109.6255 48.8084
187 103.9230 60.0000
188 97.0820 70.5342
189 89.1774 80.2957
190 80.2957 89.1774
191 70.5342 97.0820
192 60.0000 103.9230
193 48.8084 109.6255
194 37.0820 114.1268
195 24.9494 117.3777
196 12.5434 119.3426
197 0.0000 120.0000
198 -12.5434 119.3426
199 -24.9494 117.3777
200 -37.0820 114.1268
201 -48.8084 109.6255
202 -60.0000 103.9230
203 -70.5342 97.0820
204 -80.2957 89.1774
205 -89.1774 80.2957
206 -97.0820 70.5342
207 -103.9230 60.0000
208 -109.6255 48.8084
209 -114.1268 37.0820
210 -117.3777 24.9494
211 -119.3426 12.5434
212 -120.0000 0.0000
213 -119.3426 -12.5434
214 -117.3777 -24.9494
215 -114.1268 -37.0820
216 -109.6255 -48.8084
217 -103.9230 -60.0000
218 -97.0820 -70.5342
219 -89.1774 -80.2957
220 -80.2957 -89.1774
221 -70.5342 -97.0820
222 -60.0000 -103.9230
223 -48.8084 -109.6255
224 -37.0820 -114.1268
225 -24.9494 -117.3777
226 -12.5434 -119.3426
227 -0.0000 -120.0000
228 12.5434 -119.3426
229 24.9494 -117.3777
230 37.0820 -114.1268
231 48.8084 -109.6255
232 60.0000 -103.9230
233 70.5342 -97.0820
234 80.2957 -89.1774
235 89.1774 -80.2957
236 97.0820 -70.5342
237 103.9230 -60.0000
238 109.6255 -48.8084
239 114.1268 -37.0820
240 117.3777 -24.9494
241 119.3426 -12.5434
242 150.0000 0.0000
243 149.1783 15.6793
244 146.7221 31.1868
245 142.6585 46.3525
246 137.0318 61.0105
247 129.9038 75.0000
248 121.3525 88.1678
249 111.4717 100.3696
250 100.3696 111.4717
251 88.1678 121.3525
252 75.0000 129.9038
253 61.0105 137.0318
254 46.3525 142.6585
255 31.1868 146.7221
256 15.6793 149.1783
257 0.0000 150.0000
258 -15.6793 149.1783
259 -31.1868 146.7221
260 -46.3525 142.6585
261 -61.0105 137.0318
262 -75.0000 129.9038
263 -88.1678 121.3525
264 -100.3696 111.4717
265 -111.4717 100.3696
266 -121.3525 88.1678
267 -129.9038 75.0000
268 -137.0318 61.0105
269 -142.6585 46.3525
270 -146.7221 31.1868
271 -149.1783 15.6793
272 -150.0000 0.0000
273 -149.1783 -15.6793
274 -146.7221 -31.1868
275 -142.6585 -46.3525
276 -137.0318 -61.0105
277 -129.9038 -75.0000
278 -121.3525 -88.1678
279 -111.4717 -100.3696
280 -100.3696 -111.4717
281 -88.1678 -121.3525
282 -75.0000 -129.9038
283 -61.0105 -137.0318
284 -46.3525 -142.6585
285 -31.1868 -146.7221
286 -15.6793 -149.1783
287 -0.0000 -150.0000
288 15.6793 -149.1783
289 31.1868 -146.7221
290 46.3525 -142.6585
291 61.0105 -137.0318
292 75.0000 -129.9038
293 88.1678 -121.3525
294 100.3696 -111.4717
295 111.4717 -100.3696
296 121.3525 -88.1678
297 129.9038 -75.0000
298 137.0318 -61.0105
299 142.6585 -46.3525
300 146.7221 -31.1868
301 149.1783 -15.6793
302 180.0000 0.0000
303 179.0139 18.8151
304 176.0666 37.4241
305 171.1902 55.6231
306 164.4382 73.2126
307 155.8846 90.0000
308 145.6231 105.8013
309 133.7661 120.4435
310 120.4435 133.7661
311 105.8013 145.6231
312 90.0000 155.8846
313 73.2126 164.4382
314 55.6231 171.1902
315 37.4241 176.0666
316 18.8151 179.0139
317 0.0000 180.0000
318 -18.8151 179.0139
319 -37.4241 176.0666
320 -55.6231 171.1902
321 -73.2126 164.4382
322 -90.0000 155.8846
323 -105.8013 145.6231
324 -120.4435 133.7661
325 -133.7661 120.4435
326 -145.6231 105.8013
327 -155.8846 90.0000
328 -164.4382 73.2126
329 -171.1902 55.6231
330 -176.0666 37.4241
331 -179.0139 18.8151
332 -180.0000 0.0000
333 -179.0139 -18.8151
334 -176.0666 -37.4241
335 -171.1902 -55.6231
336 -164.4382 -73.2126
337 -155.8846 -90.0000
338 -145.6231 -105.8013
339 -133.7661 -120.4435
340 -120.4435 -133.7661
341 -105.8013 -145.6231
342 -90.0000 -155.8846
343 -73.2126 -164.4382
344 -55.6231 -171.1902
345 -37.4241 -176.0666
346 -18.8151 -179.0139
347 -0.0000 -180.0000
348 18.8151 -179.0139
349 37.4241 -176.0666
350 55.6231 -171.1902
351 73.2126 -164.4382
352 90.0000 -155.8846
353 105.8013 -145.6231
354 120.4435 -133.7661
355 133.7661 -120.4435
356 145.6231 -105.8013
357 155.8846 -90.0000
358 164.4382 -73.2126
359 171.1902 -55.6231
360 176.0666 -37.4241
361 179.0139 -18.8151
362 210.0000 0.0000
363 208.8496 21.9510
364 205.4110 43.6615
365 199.7219 64.8936
366 191.8445 85.4147
367 181.8653 105.0000
368 169.8936 123.4349
369 156.0604 140.5174
370 140.5174 156.0604
371 123.4349 169.8936
372 105.0000 181.8653
373 85.4147 191.8445
374 64.8936 199.7219
375 43.6615 205.4110
376 21.9510 208.8496
377 0.0000 210.0000
378 -21.9510 208.8496
379 -43.6615 205.4110
380 -64.8936 199.7219
381 -85.4147 191.8445
382 -105.0000 181.8653
383 -123.4349 169.8936
384 -140.5174 156.0604
385 -156.0604 140.5174
386 -169.8936 123.4349
387 -181.8653 105.0000
388 -191.8445 85.4147
389 -199.7219 64.8936
390 -205.4110 43.6615
391 -208.8496 21.9510
392 -210.0000 0.0000
393 -208.8496 -21.9510
394 -205.4110 -43.6615
395 -199.7219 -64.8936
396 -191.8445 -85.4147
397 -181.8653 -105.0000
398 -169.8936 -123.4349
399 -156.0604 -140.5174
400 -140.5174 -156.0604
401 -123.4349 -169.8936
402 -105.0000 -181.8653
403 -85.4147 -191.8445
404 -64.8936 -199.7219
405 -43.6615 -205.4110
406 -21.9510 -208.8496
407 -0.0000 -210.0000
408 21.9510 -208.8496
409 43.6615 -205.4110
410 64.8936 -199.7219
411 85.4147 -191.8445
412 105.0000 -181.8653
413 123.4349 -169.8936
414 140.5174 -156.0604
415 156.0604 -140.5174
416 169.8936 -123.4349
417 181.8653 -105.0000
418 191.8445 -85.4147
419 199.7219 -64.8936
420 205.4110 -43.6615
421 208.8496 -21.9510
422 240.0000 0.0000
423 238.6853 25.0868
424 234.7554 49.8988
425 228.2536 74.1641
426 219.2509 97.6168
427 207.8461 120.0000
428 194.1641 141.0685
429 178.3548 160.5913
430 160.5913 178.3548
431 141.0685 194.1641
432 120.0000 207.8461
433 97.6168 219.2509
434 74.1641 228.2536
435 49.8988 234.7554
436 25.0868 238.6853
437 0.0000 240.0000
438 -25.0868 238.6853
439 -49.8988 234.7554
440 -74.1641 228.2536
441 -97.6168 219.2509
442 -120.0000 207.8461
443 -141.0685 194.1641
444 -160.5913 178.3548
445 -178.3548 160.5913
